year,qatari-males,qatari-females,qatari-aggregate,non-qatari-males,non-qatari-females,non-qatari-aggregate,male-aggregate,female-aggregate,overall-aggregate,degree,university,education-level,latitude,longitude,yoy_growth_rate
2017,0,0,0,5,0.0,5,5,0,5,Engineering and Technology,,Masters,,,
2017,0,0,0,3,2.0,5,3,2,5,Engineering and Technology,,Masters,,,
2017,3,3,6,9,6.0,15,12,9,21,Engineering and Technology,,Masters,,,
2017,1,0,1,3,4.0,7,4,4,8,Engineering and Technology,,Masters,,,
2017,0,0,0,3,1.0,4,3,1,4,Engineering and Technology,,Masters,,,
2017,1,2,3,0,10.0,10,1,12,13,Engineering and Technology,,Masters,,,
2017,7,91,98,29,55.0,84,36,146,182,Islamic Studies,,Bachelor,,,
2017,4,1,5,3,3.0,6,7,4,11,Islamic Studies,,Masters,,,
2017,5,3,8,3,2.0,5,8,5,13,Islamic Studies,,Masters,,,
2017,40,89,129,8,19.0,27,48,108,156,Law and Legal Studies,,Bachelor,,,
2017,3,5,8,1,1.0,2,4,6,10,Law and Legal Studies,,Masters,,,
2017,3,5,8,0,1.0,1,3,6,9,Law and Legal Studies,,Masters,,,
2017,0,7,7,0,65.0,65,0,72,72,Medical and Health Science,,Bachelor,,,
2017,0,3,3,0,21.0,21,0,24,24,Medical and Health Science,,Bachelor,,,
2017,0,1,1,0,0.0,0,0,1,1,Medical and Health Science,,Doctorate,,,
2017,0,3,3,3,2.0,5,3,5,8,Medical and Health Science,,Masters,,,
2017,0,0,0,0,1.0,1,0,1,1,Medical and Health Science,,Masters,,,
2017,0,1,1,0,2.0,2,0,3,3,Medical and Health Science,,Masters,,,
2017,0,3,3,3,19.0,22,3,22,25,Medical and Health Science,,Masters,,,
2017,229,434,663,1,2.0,3,230,436,666,Pre-University Diploma,,Pre-University Diploma,,,
2018,0,6,6,1,3.0,4,1,9,10,Arabic Language & Literature,,Masters,,,66.67
2018,75,551,626,87,350.0,437,162,901,1063,Art and Science,,Bachelor,,,11.31
2018,184,478,662,67,126.0,193,251,604,855,Business and Economics,,Bachelor,,,5.17
2018,1,3,4,0,4.0,4,1,7,8,Business and Economics,,Masters,,,72.5
2018,0,2,2,1,7.0,8,1,9,10,Business and Economics,,Masters,,,72.5
2018,1,8,9,11,10.0,21,12,18,30,Business and Economics,,Masters,,,72.5
2018,0,6,6,3,12.0,15,3,18,21,Business and Economics,,Masters,,,72.5
2018,0,0,0,1,0.0,1,1,0,1,Computer and Information Sciences,,Doctorate,,,0.0
2018,0,1,1,0,1.0,1,0,2,2,Computer and Information Sciences,,Masters,,,38.46
2018,0,1,1,8,7.0,15,8,8,16,Computer and Information Sciences,,Masters,,,38.46
2018,2,170,172,9,118.0,127,11,288,299,Education,,Bachelor,,,9.52
2018,0,4,4,0,1.0,1,0,5,5,Education,,Diploma,,,-27.5
2018,0,0,0,0,7.0,7,0,7,7,Education,,Diploma,,,-27.5
2018,0,1,1,3,0.0,3,3,1,4,Education,,Diploma,,,-27.5
2018,0,7,7,6,0.0,6,6,7,13,Education,,Diploma,,,-27.5
2018,0,1,1,2,5.0,7,2,6,8,Education,,Masters,,,-16.0
2018,1,2,3,1,6.0,7,2,8,10,Education,,Masters,,,-16.0
2018,0,1,1,0,2.0,2,0,3,3,Education,,Masters,,,-16.0
2018,23,104,127,199,114.0,313,222,218,440,Engineering and Technology,,Bachelor,,,9.73
2018,0,0,0,1,0.0,1,1,0,1,Engineering and Technology,,Doctorate,,,200.0
2018,0,0,0,1,1.0,2,1,1,2,Engineering and Technology,,Doctorate,,,200.0
2018,2,1,3,0,0.0,0,2,1,3,Engineering and Technology,,Doctorate,,,200.0
2018,0,0,0,2,4.0,6,2,4,6,Engineering and Technology,,Masters,,,9.84
2018,0,0,0,10,0.0,10,10,0,10,Engineering and Technology,,Masters,,,9.84
2018,0,0,0,5,2.0,7,5,2,7,Engineering and Technology,,Masters,,,9.84
2018,2,5,7,9,7.0,16,11,12,23,Engineering and Technology,,Masters,,,9.84
2018,0,1,1,3,3.0,6,3,4,7,Engineering and Technology,,Masters,,,9.84
2018,0,0,0,7,0.0,7,7,0,7,Engineering and Technology,,Masters,,,9.84
2018,0,0,0,1,6.0,7,1,6,7,Engineering and Technology,,Masters,,,9.84
2018,19,88,107,26,51.0,77,45,139,184,Islamic Studies,,Bachelor,,,1.1
2018,1,4,5,7,0.0,7,8,4,12,Islamic Studies,,Masters,,,0.0
2018,5,4,9,0,3.0,3,5,7,12,Islamic Studies,,Masters,,,0.0
2018,43,123,166,8,19.0,27,51,142,193,Law and Legal Studies,,Bachelor,,,23.72
2018,4,4,8,0,2.0,2,4,6,10,Law and Legal Studies,,Masters,,,47.37
2018,9,8,17,1,,1,10,8,18,Law and Legal Studies,,Masters,,,47.37
2018,0,10,10,0,77.0,77,0,87,87,Medical and Health Science,,Bachelor,,,14.58
2018,0,0,0,0,23.0,23,0,23,23,Medical and Health Science,,Bachelor,,,14.58
2018,1,0,1,0,1.0,1,1,1,2,Medical and Health Science,,Doctorate,,,100.0
2018,1,0,1,2,4.0,6,3,4,7,Medical and Health Science,,Masters,,,40.54
2018,1,2,3,0,7.0,7,1,9,10,Medical and Health Science,,Masters,,,40.54
2018,0,2,2,5,3.0,8,5,5,10,Medical and Health Science,,Masters,,,40.54
2018,0,6,6,2,17.0,19,2,23,25,Medical and Health Science,,Masters,,,40.54
2018,223,511,734,3,8.0,11,226,519,745,Pre-University Diploma,,Pre-University Diploma,,,15.02
2018,20,1,21,0,0.0,0,20,1,21,Pre-University Diploma,,Pre-University Diploma,,,15.02
2019,1,4,5,1,5.0,6,2,9,11,Arabic Language & Literature,Qatar University,Masters,25.375,51.4906,10.0
2019,71,540,611,78,260.0,338,149,800,949,Art and Science,Qatar University,Bachelor,25.375,51.4906,-10.72
2019,154,477,631,59,143.0,202,213,620,833,Business and Economics,Qatar University,Bachelor,25.375,51.4906,-2.57
2019,0,2,2,1,4.0,5,1,6,7,Business and Economics,Qatar University,Masters,25.375,51.4906,-49.28
2019,0,1,1,3,2.0,5,3,3,6,Business and Economics,Qatar University,Masters,25.375,51.4906,-49.28
2019,1,2,3,6,2.0,8,7,4,11,Business and Economics,Qatar University,Masters,25.375,51.4906,-49.28
2019,0,5,5,1,5.0,6,1,10,11,Business and Economics,Qatar University,Masters,25.375,51.4906,-49.28
2019,0,0,0,1,0.0,1,1,0,1,Computer and Information Sciences,Qatar University,Doctorate,25.375,51.4906,0.0
2019,0,0,0,1,2.0,3,1,2,3,Computer and Information Sciences,Qatar University,Masters,25.375,51.4906,-44.44
2019,0,0,0,2,5.0,7,2,5,7,Computer and Information Sciences,Qatar University,Masters,25.375,51.4906,-44.44
2019,3,198,201,6,124.0,130,9,322,331,Education,Qatar University,Bachelor,25.375,51.4906,10.7
2019,0,2,2,0,5.0,5,0,7,7,Education,Qatar University,Diploma,25.375,51.4906,13.79
2019,0,5,5,0,6.0,6,0,11,11,Education,Qatar University,Diploma,25.375,51.4906,13.79
2019,0,1,1,0,0.0,0,0,1,1,Education,Qatar University,Diploma,25.375,51.4906,13.79
2019,0,4,4,7,3.0,10,7,7,14,Education,Qatar University,Diploma,25.375,51.4906,13.79
2019,0,2,2,1,3.0,4,1,5,6,Education,Qatar University,Masters,25.375,51.4906,19.05
2019,0,5,5,1,6.0,7,1,11,12,Education,Qatar University,Masters,25.375,51.4906,19.05
2019,0,1,1,0,4.0,4,0,5,5,Education,Qatar University,Masters,25.375,51.4906,19.05
2019,0,0,0,1,1.0,2,1,1,2,Education,Qatar University,Masters,25.375,51.4906,19.05
2019,21,106,127,227,100.0,327,248,206,454,Engineering and Technology,Qatar University,Bachelor,25.375,51.4906,5.23
2019,9,0,9,0,0.0,0,9,0,9,Engineering and Technology,Ras Laffan College ,Bachelor,25.8856,51.43,5.23
2019,0,0,0,1,0.0,1,1,0,1,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,33.33
2019,0,0,0,3,2.0,5,3,2,5,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,33.33
2019,0,1,1,0,0.0,0,0,1,1,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,33.33
2019,0,0,0,0,1.0,1,0,1,1,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,33.33
2019,1,1,2,1,2.0,3,2,3,5,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,0,0,0,12,0.0,12,12,0,12,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,0,0,0,2,5.0,7,2,5,7,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,9,0,9,5,6.0,11,14,6,20,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,0,0,0,3,9.0,12,3,9,12,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,0,0,0,9,1.0,10,9,1,10,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,0,3,3,1,2.0,3,1,5,6,Engineering and Technology,Qatar University,Masters,25.375,51.4906,7.46
2019,13,61,74,17,28.0,45,30,89,119,Islamic Studies,Qatar University,Bachelor,25.375,51.4906,-35.33
2019,1,5,6,4,3.0,7,5,8,13,Islamic Studies,Qatar University,Masters,25.375,51.4906,-25.0
2019,3,2,5,0,0.0,0,3,2,5,Islamic Studies,Qatar University,Masters,25.375,51.4906,-25.0
2019,33,141,174,14,28.0,42,47,169,216,Law and Legal Studies,Qatar University,Bachelor,25.375,51.4906,11.92
2019,5,3,8,2,1.0,3,7,4,11,Law and Legal Studies,Qatar University,Masters,25.375,51.4906,-21.43
2019,7,4,11,0,0.0,0,7,4,11,Law and Legal Studies,Qatar University,Masters,25.375,51.4906,-21.43
2019,0,19,19,0,79.0,79,0,98,98,Medical and Health Science,Qatar University,Bachelor,25.375,51.4906,9.09
2019,0,3,3,0,19.0,19,0,22,22,Medical and Health Science,Qatar University,Bachelor,25.375,51.4906,9.09
2019,0,0,0,0,2.0,2,0,2,2,Medical and Health Science,Qatar University,Doctorate,25.375,51.4906,0.0
2019,0,1,1,2,4.0,6,2,5,7,Medical and Health Science,Qatar University,Masters,25.375,51.4906,-21.15
2019,0,5,5,0,3.0,3,0,8,8,Medical and Health Science,Qatar University,Masters,25.375,51.4906,-21.15
2019,0,0,0,4,5.0,9,4,5,9,Medical and Health Science,Qatar University,Masters,25.375,51.4906,-21.15
2019,0,0,0,0,17.0,17,0,17,17,Medical and Health Science,Qatar University,Masters,25.375,51.4906,-21.15
2019,237,406,643,4,12.0,16,241,418,659,Pre-University Diploma,Community College Of Qatar,Pre-University Diploma,25.2658,51.5161,-12.4
2019,11,0,11,0,1.0,1,11,1,12,Pre-University Diploma,Ras Laffan College ,Pre-University Diploma,25.8856,51.43,-12.4
2020,0,4,4,1,0.0,1,1,4,5,Arabic Language & Literature,Qatar University,Masters,25.375,51.4906,-54.55
2020,103,609,712,60,183.0,243,163,792,955,Art and Science,Qatar University,Bachelor,25.375,51.4906,0.63
2020,147,470,617,82,112.0,194,229,582,811,Business and Economics,Qatar University,Bachelor,25.375,51.4906,-2.64
2020,14,18,32,23,22.0,45,37,40,77,Business and Economics,Jossor Institute,Diploma,25.3165,51.5263,
2020,0,0,0,0,1.0,1,0,1,1,Business and Economics,Qatar University,Doctorate,25.375,51.4906,
2020,15,10,25,0,0.0,0,15,10,25,Business and Economics,Qatar Leadership Center,Masters,25.3165,51.5263,157.14
2020,1,4,5,3,8.0,11,4,12,16,Business and Economics,Qatar University,Masters,25.375,51.4906,157.14
2020,4,11,15,4,10.0,14,8,21,29,Business and Economics,Qatar University,Masters,25.375,51.4906,157.14
2020,1,4,5,3,12.0,15,4,16,20,Business and Economics,Qatar University,Masters,25.375,51.4906,157.14
2020,0,0,0,2,4.0,6,2,4,6,Computer and Information Sciences,Qatar University,Masters,25.375,51.4906,60.0
2020,1,2,3,2,5.0,7,3,7,10,Computer and Information Sciences,Qatar University,Masters,25.375,51.4906,60.0
2020,3,230,233,4,94.0,98,7,324,331,Education,Qatar University,Bachelor,25.375,51.4906,0.0
2020,0,22,22,0,8.0,8,0,30,30,Education,Qatar University,Diploma,25.375,51.4906,27.27
2020,0,3,3,7,2.0,9,7,5,12,Education,Qatar University,Diploma,25.375,51.4906,27.27
2020,1,3,4,0,2.0,2,1,5,6,Education,Qatar University,Masters,25.375,51.4906,-4.0
2020,0,6,6,0,2.0,2,0,8,8,Education,Qatar University,Masters,25.375,51.4906,-4.0
2020,0,0,0,0,1.0,1,0,1,1,Education,Qatar University,Masters,25.375,51.4906,-4.0
2020,0,5,5,3,1.0,4,3,6,9,Education,Qatar University,Masters,25.375,51.4906,-4.0
2020,33,110,143,189,95.0,284,222,205,427,Engineering and Technology,Qatar University,Bachelor,25.375,51.4906,-4.97
2020,12,0,12,1,0.0,1,13,0,13,Engineering and Technology,Ras Laffan College ,Bachelor,25.8856,51.43,-4.97
2020,0,0,0,1,1.0,2,1,1,2,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,-12.5
2020,0,0,0,1,0.0,1,1,0,1,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,-12.5
2020,0,0,0,1,0.0,1,1,0,1,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,-12.5
2020,0,1,1,1,0.0,1,1,1,2,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,-12.5
2020,0,0,0,1,0.0,1,1,0,1,Engineering and Technology,Qatar University,Doctorate,25.375,51.4906,-12.5
2020,0,0,0,5,5.0,10,5,5,10,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,0,0,0,9,1.0,10,9,1,10,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,0,0,0,2,2.0,4,2,2,4,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,7,8,15,3,1.0,4,10,9,19,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,0,0,0,2,1.0,3,2,1,3,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,1,0,1,5,0.0,5,6,0,6,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,0,1,1,0,1.0,1,0,2,2,Engineering and Technology,Qatar University,Masters,25.375,51.4906,-25.0
2020,4,41,45,16,20.0,36,20,61,81,Islamic Studies,Qatar University,Bachelor,25.375,51.4906,-31.93
2020,1,4,5,3,3.0,6,4,7,11,Islamic Studies,Qatar University,Masters,25.375,51.4906,61.11
2020,7,3,10,4,3.0,7,11,6,17,Islamic Studies,Qatar University,Masters,25.375,51.4906,61.11
2020,0,0,0,1,0.0,1,1,0,1,Islamic Studies,Qatar University,Masters,25.375,51.4906,61.11
2020,54,161,215,8,16.0,24,62,177,239,Law and Legal Studies,Qatar University,Bachelor,25.375,51.4906,10.65
2020,1,7,8,1,2.0,3,2,9,11,Law and Legal Studies,Qatar University,Masters,25.375,51.4906,13.64
2020,5,7,12,1,1.0,2,6,8,14,Law and Legal Studies,Qatar University,Masters,25.375,51.4906,13.64
2020,0,16,16,0,75.0,75,0,91,91,Medical and Health Science,Qatar University,Bachelor,25.375,51.4906,-6.67
2020,0,0,0,0,21.0,21,0,21,21,Medical and Health Science,Qatar University,Bachelor,25.375,51.4906,-6.67
2020,0,0,0,2,3.0,5,2,3,5,Medical and Health Science,Qatar University,Doctorate,25.375,51.4906,150.0
2020,1,1,2,0,6.0,6,1,7,8,Medical and Health Science,Qatar University,Masters,25.375,51.4906,17.07
2020,1,3,4,0,5.0,5,1,8,9,Medical and Health Science,Qatar University,Masters,25.375,51.4906,17.07
2020,0,0,0,0,10.0,10,0,10,10,Medical and Health Science,Qatar University,Masters,25.375,51.4906,17.07
2020,0,1,1,3,17.0,20,3,18,21,Medical and Health Science,Qatar University,Masters,25.375,51.4906,17.07
2020,209,406,615,10,27.0,37,219,433,652,Pre-University Diploma,Community College Of Qatar,Pre-University Diploma,25.2658,51.5161,0.0
